Data as of,Start Week,End Week,Sex,Age Years,Total deaths,COVID-19 Deaths
1/4/2021,2/1/2020,1/2/2021,Female,59 Years,14588,1210
1/4/2021,2/1/2020,1/2/2021,Female,60 Years,15796,1394
1/4/2021,2/1/2020,1/2/2021,Female,61 Years,16583,1420
1/4/2021,2/1/2020,1/2/2021,Female,62 Years,17547,1656
1/4/2021,2/1/2020,1/2/2021,Female,63 Years,18773,1718
1/4/2021,2/1/2020,1/2/2021,Female,64 Years,19270,1827
1/4/2021,2/1/2020,1/2/2021,Female,65 Years,20377,2040
1/4/2021,2/1/2020,1/2/2021,Female,66 Years,20933,1932
1/4/2021,2/1/2020,1/2/2021,Female,67 Years,21754,2181
1/4/2021,2/1/2020,1/2/2021,Female,68 Years,22584,2247
1/4/2021,2/1/2020,1/2/2021,Female,69 Years,23482,2412
1/4/2021,2/1/2020,1/2/2021,Female,70 Years,24774,2512
1/4/2021,2/1/2020,1/2/2021,Female,71 Years,26797,2765
1/4/2021,2/1/2020,1/2/2021,Female,72 Years,29051,3036
1/4/2021,2/1/2020,1/2/2021,Female,73 Years,31978,3233
1/4/2021,2/1/2020,1/2/2021,Female,74 Years,27640,3027
1/4/2021,2/1/2020,1/2/2021,Female,75 Years,28635,3014
1/4/2021,2/1/2020,1/2/2021,Female,76 Years,31215,3279
1/4/2021,2/1/2020,1/2/2021,Female,77 Years,34461,3670
1/4/2021,2/1/2020,1/2/2021,Female,78 Years,33535,3613
1/4/2021,2/1/2020,1/2/2021,Female,79 Years,33499,3541
1/4/2021,2/1/2020,1/2/2021,Female,80 Years,34698,3738
1/4/2021,2/1/2020,1/2/2021,Female,81 Years,36042,3821
1/4/2021,2/1/2020,1/2/2021,Female,82 Years,37810,4107
1/4/2021,2/1/2020,1/2/2021,Female,83 Years,38169,4100
1/4/2021,2/1/2020,1/2/2021,Female,84 Years,39923,4359
1/4/2021,2/1/2020,1/2/2021,Female,85 Years and over,549692,57483
